item_name,category
חלב,חלב וגבינות
קוטג',חלב וגבינות
גבינה לבנה,חלב וגבינות
גבינה צהובה,חלב וגבינות
יוגורט,חלב וגבינות
מעדני חלב,חלב וגבינות
שוקו,חלב וגבינות
חמאה,חלב וגבינות
גבינת שמנת,חלב וגבינות
שמנת,חלב וגבינות
שמנת לבישול,חלב וגבינות
חמאה למריחה,חלב וגבינות
טל העמק,חלב וגבינות
עמק,חלב וגבינות
בולגרית,חלב וגבינות
מעדנים,חלב וגבינות
חלב סויה,חלב וגבינות
פרמזן,חלב וגבינות
אשל,חלב וגבינות
מייפל,רטבים
עגבניות,ירקות ופירות
מלפפונים,ירקות ופירות
בצל,ירקות ופירות
תפוחי אדמה,ירקות ופירות
פלפל,ירקות ופירות
בננות,ירקות ופירות
תפוחים,ירקות ופירות
לימונים,ירקות ופירות
אבוקדו,ירקות ופירות
גזר,ירקות ופירות
חסה,ירקות ופירות
פטריות,ירקות ופירות
קישואים,ירקות ופירות
כרוב,ירקות ופירות
שום,ירקות ופירות
חצילים,ירקות ופירות
ענבים,ירקות ופירות
תפוזים,ירקות ופירות
גמבות,ירקות ופירות
סלרי,ירקות ופירות
כוסברא,ירקות ופירות
פטרוזיליה,ירקות ופירות
לימון,ירקות ופירות
קולורבי,ירקות ופירות
עגבניות שרי,ירקות ופירות
עגבניות מרוסקות,שימורים
תותים,ירקות ופירות
בצל לבן,ירקות ופירות
בצל אדום,ירקות ופירות
פטריות טריות,ירקות ופירות
קיווי,ירקות ופירות
שומר,ירקות ופירות
פלפל חריף,ירקות ופירות
זיתים,שימורים
זיתים במשקל,ירקות ופירות
לחם,מאפים
חלה,מאפים
פיתות,מאפים
לחמניות,מאפים
לחם בריאות,מאפים
לחם לבן,מאפים
פיתות רגילות,מאפים
פיתות כוסמין,מאפים
חזה עוף,בשר ודגים
בשר טחון,בשר ודגים
כרעיים,בשר ודגים
טונה,שימורים
דגים,בשר ודגים
נפוליאון חריף,מוצרי חלב
נפוליאון זיתים,מוצרי חלב
שמן,מוצרי מזווה
סוכר,מוצרי מזווה
אורז,מוצרי מזווה
פסטה,מוצרי מזווה
פתיתים,מוצרי מזווה
תירס,שימורים
רסק עגבניות,שימורים
קטשופ,מוצרי מזווה
מלח,מוצרי מזווה
קמח,מוצרי מזווה
טחינה,מוצרי מזווה
שמן זית,מוצרי מזווה
חומץ,מוצרי מזווה
מיונז,מוצרי מזווה
חרדל,מוצרי מזווה
עדשים,קטניות
שעועית,קטניות
פירורי לחם,מוצרי מזווה
אבקת אפייה,מוצרי מזווה
לורפק,מוצרי חלב
סויה,רטבים
סויה ימאסה,רטבים
צ'ילי מתוק,רטבים
תרכיז עגבניות,שימורים
חומוס גרגירים,שימורים
פפריקה,תבלינים
פלפל שחור,תבלינים
מלח גס,תבלינים
מלח דק,תבלינים
קמח לבן,מוצרי מזווה
מלפפון חמוץ,שימורים
קפה שחור,משקאות
מים מינרליים,משקאות
תה,משקאות
משקאות קלים,משקאות
קפסולות קפה,משקאות
קפה טורקי,משקאות
מים מינרלים,משקאות
מיץ תפוזים,משקאות
מיץ ענבים,משקאות
זירו,משקאות
במבה,חטיפים
ביסלי,חטיפים
שוקולד מריר,מתוקים
שוקולד למריחה,ממרחים
וופלים,מתוקים
קורנפלקס,חטיפים ומתוקים
שוקולד השחר,ממרחים
נוטלה,ממרחים
קראנץ,מתוקים
סבבה,חטיפים
תפוציפס,חטיפים
דני,מוצרי חלב
קשיו,פיצוחים
בוטנים,פיצוחים
פתיבר,מתוקים
תירס לפופקורן,חטיפים
חטיפים,חטיפים
צ'יפס לטיגון,מוצרי מזווה
ויטמינציק,מתוקים
נייר טואלט,מוצרי ניקוי
סבון כלים,מוצרי ניקוי
אקונומיקה,מוצרי ניקוי
שמפו,מוצרי טיפוח
מרכך,מוצרי טיפוח
סבון גוף,מוצרי טיפוח
משחת שיניים,מוצרי טיפוח
שקיות אשפה,מוצרי ניקוי
מרכך כביסה,מוצרי ניקוי
טבליות כביסה,מוצרי ניקוי
מפיות,מוצרי נייר
מגבות נייר,מוצרי נייר
נייר אלומיניום,מוצרי אריזה
נייר סופג,מוצרי נייר
ניילון נצמד,מוצרי אריזה
נייר אפייה,מוצרי ניקוי
טבליות למדיח,מוצרי ניקוי
סבון מדיח,מוצרי ניקוי
נוזל כביסה,מוצרי ניקוי
כביסכל,מוצרי ניקוי
סבון ידיים,מוצרי טיפוח
מגבונים,מוצרי טיפוח
מגבוני טואלט,מוצרי טיפוח
משחת שיניים גדול,מוצרי טיפוח
משחת שיניים קטן,מוצרי טיפוח
מרכך לשיער,מוצרי טיפוח
סבון רצפה,מוצרי ניקוי
מבריק למדיח,מוצרי ניקוי
כלור ג'ל,מוצרי ניקוי
קיסמים,מוצרי ניקוי
חומוס,שונות
ביצים,שונות
